game_id,competition_id,season,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position
3860431,TR1,2022,24245,11688,0,1,17,16
3860466,TR1,2022,3840,10484,5,0,4,10
3860470,TR1,2022,6646,24245,4,2,8,18
3860497,TR1,2022,924,6646,0,1,17,9
3860520,TR1,2022,10484,924,1,0,11,15
3869121,PO1,2022,2995,8024,1,1,17,13
3869288,PO1,2022,2423,6912,0,1,18,7
3869328,PO1,2022,6912,3329,0,0,9,8
3885848,ES1,2022,131,366,4,0,3,19
3886360,ES1,2022,940,3709,1,1,13,17
3886415,ES1,2022,1050,237,0,2,9,12
3886468,ES1,2022,150,621,0,0,6,5
3886497,ES1,2022,331,237,1,0,7,10
3886516,ES1,2022,3709,150,0,1,19,6
3886672,ES1,2022,1050,621,5,1,5,8
3887502,CLQ,2022,124,3948,3,0,,
3889021,GR1,2022,6418,2441,0,2,8,4
3889027,GR1,2022,2671,6418,1,4,12,6
3889031,GR1,2022,553,3999,1,1,14,10
3889034,GR1,2022,265,6676,1,0,1,9
3889070,GR1,2022,6418,265,0,1,8,1
3889092,GR1,2022,6676,3999,3,0,9,13
3889099,GR1,2022,2441,265,1,0,2,1
3889143,GR1,2022,653,605,0,3,10,6
3889527,RU1,2022,16704,14589,2,0,6,11
3889553,RU1,2022,1186,2410,1,0,16,3
3890051,SC1,2022,2759,2553,1,0,9,12
3890062,SC1,2022,2759,371,0,2,11,1
3890071,SC1,2022,370,2553,4,1,6,10
3890117,SC1,2022,2759,465,3,2,11,7
3890146,SC1,2022,2553,1519,1,0,10,11
3890211,SC1,2022,1519,903,2,1,12,6
3902070,UKR1,2022,3592,18105,0,0,14,8
3909919,RUP,2022,41231,1186,1,3,,
3909920,RUP,2022,2410,11127,2,1,,
3909927,RUP,2022,11127,1186,1,0,,
3909928,RUP,2022,49702,16704,1,0,,
3909936,RUP,2022,16704,932,1,0,,
3909967,UKR1,2022,61825,26459,1,1,11,7
3911756,CL,2022,131,27,0,3,,
3911809,CL,2022,631,5,3,0,,
3911820,CL,2022,23826,660,1,4,,
3911821,CL,2022,23826,371,3,1,,
3911827,CL,2022,371,23826,0,2,,
3912581,EL,2022,3948,89,0,1,,
3912598,EL,2022,234,398,1,0,,
3913727,CL,2022,294,583,1,1,,
3925898,RU1,2022,2410,121,1,1,4,8
3925931,RU1,2022,2410,232,2,2,3,2
3925963,RU1,2022,932,2410,0,1,14,3
3925977,RU1,2022,11127,1124,2,0,10,13
3944831,UKR1,2022,26459,10690,0,1,6,4
3944844,UKR1,2022,660,49364,3,0,1,14
3953740,RUP,2022,28095,75231,6,5,,
3953961,UKR1,2022,83678,3592,0,1,11,9
3956685,CL,2022,294,2282,5,1,,
3963027,POCP,2022,2420,2457,2,2,,
4003974,CIT,2022,430,416,2,1,,
4003976,CIT,2022,506,398,1,0,,
4017958,SFA,2022,1519,2553,0,1,,
4027696,DFB,2022,27,60,1,2,,
4031350,UKR1,2022,10690,18105,3,1,3,16
4034843,RUP,2022,964,121,5,6,,
4050050,UKR1,2022,60551,48726,3,2,2,15
4055000,DKP,2022,1177,1053,1,1,,
4055285,RU1,2022,14589,932,1,4,8,10
4056030,UKR1,2022,61825,55686,1,1,13,10
4056161,RU1,2022,2410,932,1,1,4,10
4056351,RU1,2022,964,232,3,2,1,4
